Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	250	250	250	250	250	250	250	1024
2	750	750	750	750	750	750	750	1024
3	1875	1875	1875	1875	1875	1875	1875	1024
4	3937	3937	3937	3937	3937	3937	3937	1024
5	7087	7087	7087	7087	7087	7087	7087	1024
6	11340	11340	11340	11340	11340	11340	11340	1024
7	16443	16443	16443	16443	16443	16443	16443	1024
8	22198	22198	22198	22198	22198	22198	22198	1024
9	28857	28857	28857	28857	28857	28857	28857	1024
10	36072	36072	36072	36072	36072	36072	36072	1024
11	45090	45090	45090	45090	45090	45090	45090	1024
12	56362	56362	56362	56362	56362	56362	56362	1024
13	70453	70453	70453	70453	70453	70453	70453	1024
14	88066	88066	88066	88066	88066	88066	88066	1024
15	110082	110082	110082	110082	110082	110082	110082	1024
16	137603	137603	137603	137603	137603	137603	137603	1024
17	172004	172004	172004	172004	172004	172004	172004	1024
18	215005	215005	215005	215005	215005	215005	215005	1024
19	268756	268756	268756	268756	268756	268756	268756	1024
20	335945	335945	335945	335945	335945	335945	335945	1024
21	419932	419932	419932	419932	419932	419932	419932	1024
22	524915	524915	524915	524915	524915	524915	524915	1024
23	656143	656143	656143	656143	656143	656143	656143	1024
24	820179	820179	820179	820179	820179	820179	820179	1024
25	1025224	1025224	1025224	1025224	1025224	1025224	1025224	1024
26	1281530	1281530	1281530	1281530	1281530	1281530	1281530	1024
27	1601913	1601913	1601913	1601913	1601913	1601913	1601913	1024
28	1951130	1951130	1951130	1951130	1951130	1951130	1951130	1024
29	2331776	2331776	2331776	2331776	2331776	2331776	2331776	1024
30	2746681	2746681	2746681	2746681	2746681	2746681	2746681	1024
31	3518820	3518820	3518820	3518820	3518820	3518820	3518820	1024
32	4061063	4061063	4061063	4061063	4061063	4061063	4061063	1024
33	4652108	4652108	4652108	4652108	4652108	4652108	4652108	1024
34	5296347	5296347	5296347	5296347	5296347	5296347	5296347	1024
35	5998568	5998568	5998568	5998568	5998568	5998568	5998568	1024
36	6763989	6763989	6763989	6763989	6763989	6763989	6763989	1024
37	7598297	7598297	7598297	7598297	7598297	7598297	7598297	1024
